Date, Close/Last, Volume, Open, High, Low,
11/25/2020,3185.07,3790403.00,3141.87,3198.00,3140.26,
11/24/2020,3118.06,3602102.00,3100.50,3134.25,3086.26,
11/23/2020,3098.39,4708887.00,3116.70,3139.75,3065.46,
11/20/2020,3099.40,3380138.00,3117.02,3132.89,3098.05,
11/19/2020,3117.02,3010270.00,3105.31,3125.00,3080.92,
11/18/2020,3105.46,2916836.00,3134.00,3140.00,3105.10,
11/17/2020,3135.66,3444735.00,3183.55,3189.25,3135.26,
11/16/2020,3131.06,3808676.00,3093.20,3142.70,3072.69,
11/13/2020,3128.81,3762587.00,3122.00,3141.72,3085.39,
11/12/2020,3110.28,4371208.00,3159.95,3175.88,3086.05,
11/11/2020,3137.39,4366923.00,3061.78,3139.15,3050.00,
11/10/2020,3035.02,6590956.00,3095.02,3114.00,3019.48,
11/9/2020,3143.74,7190406.00,3231.03,3289.00,3112.11,
11/6/2020,3311.37,4647330.00,3304.64,3322.00,3232.00,
11/5/2020,3322.00,5789285.00,3319.97,3366.80,3288.88,
11/4/2020,3241.16,6839041.00,3159.99,3244.85,3139.73,
11/3/2020,3048.41,4897880.00,3018.53,3074.90,2980.98,
11/2/2020,3004.48,7257350.00,3061.74,3079.71,2950.12,
10/30/2020,3036.15,8396081.00,3157.75,3167.00,3019.00,
10/29/2020,3211.01,6596529.00,3201.27,3257.25,3164.00,
10/28/2020,3162.78,5588330.00,3249.30,3264.02,3162.47,
10/27/2020,3286.33,4291047.00,3224.94,3291.66,3211.30,
10/26/2020,3207.04,5901151.00,3198.74,3282.98,3153.30,
10/23/2020,3204.40,3466687.00,3191.00,3205.33,3140.00,
10/22/2020,3176.40,4212005.00,3189.87,3198.75,3121.94,
10/21/2020,3184.94,4592736.00,3212.50,3233.88,3160.00,
10/20/2020,3217.01,4509678.00,3222.28,3266.00,3192.01,
10/19/2020,3207.21,5223626.00,3299.61,3329.00,3192.74,
10/16/2020,3272.71,6474353.00,3363.23,3399.66,3160.00,
10/15/2020,3338.65,5223448.00,3292.01,3355.88,3280.00,
10/14/2020,3363.71,5828916.00,3447.00,3464.88,3340.00,
10/13/2020,3443.63,5744697.00,3467.99,3492.38,3424.22,
10/12/2020,3442.93,8364198.00,3349.94,3496.24,3339.55,
10/9/2020,3286.65,4907871.00,3210.00,3288.99,3197.83,
10/8/2020,3190.55,3174114.00,3224.99,3233.29,3174.99,
10/7/2020,3195.69,4309439.00,3135.00,3200.00,3132.39,
10/6/2020,3099.96,5086857.00,3165.00,3182.00,3090.00,
10/5/2020,3199.20,3775332.00,3145.84,3202.53,3140.85,
10/2/2020,3125.00,5613098.00,3153.63,3195.80,3123.00,
10/1/2020,3221.26,4971922.00,3208.00,3224.00,3172.00,
9/30/2020,3148.73,4896101.00,3141.14,3212.88,3133.99,
9/29/2020,3144.88,3503398.00,3175.39,3188.26,3132.54,
9/28/2020,3174.05,4224165.00,3148.85,3175.04,3117.17,
9/25/2020,3095.13,4615202.00,3054.86,3101.54,2999.00,
9/24/2020,3019.79,5529392.00,2977.79,3069.30,2965.00,
9/23/2020,2999.86,5652665.00,3120.43,3127.00,2992.38,
9/22/2020,3128.99,6948816.00,3033.84,3133.99,3000.20,
9/21/2020,2960.47,6117925.00,2906.50,2962.00,2871.00,
9/18/2020,2954.91,8892580.00,3031.74,3037.80,2905.54,
9/17/2020,3008.73,6449050.00,3009.25,3029.43,2972.55,
9/16/2020,3078.10,4531189.00,3179.99,3187.24,3074.15,
9/15/2020,3156.13,4021535.00,3136.16,3175.02,3108.92,
9/14/2020,3102.97,4529596.00,3172.94,3187.39,3096.00,
9/11/2020,3116.22,5093982.00,3208.69,3217.34,3083.98,
9/10/2020,3175.11,5330741.00,3307.22,3349.89,3170.55,
9/9/2020,3268.61,5188675.00,3202.99,3303.18,3185.00,
9/8/2020,3149.84,6094205.00,3144.00,3250.85,3130.00,
9/4/2020,3294.62,8781754.00,3318.00,3381.50,3111.13,
9/3/2020,3368.00,8161113.00,3485.00,3488.41,3303.00,
9/2/2020,3531.45,3931476.00,3547.00,3552.25,3486.69,
9/1/2020,3499.12,3476407.00,3489.58,3513.87,3467.00,
8/31/2020,3450.96,4185885.00,3408.99,3495.00,3405.00,
8/28/2020,3401.80,2896978.00,3423.00,3433.37,3386.50,
8/27/2020,3400.00,4264795.00,3450.05,3453.00,3378.00,
8/26/2020,3441.85,6508743.00,3351.11,3451.74,3344.57,
8/25/2020,3346.49,3992842.00,3294.99,3357.40,3267.00,
8/24/2020,3307.46,4666258.00,3310.15,3380.32,3257.56,
8/21/2020,3284.72,3575862.00,3295.00,3314.40,3275.39,
8/20/2020,3297.37,3332478.00,3252.00,3312.62,3238.00,
8/19/2020,3260.48,4185137.00,3303.01,3315.90,3256.00,
8/18/2020,3312.49,5345974.00,3212.00,3320.00,3205.82,
8/17/2020,3182.41,2691237.00,3173.12,3194.97,3154.18,
8/14/2020,3148.02,2751723.00,3178.18,3178.24,3120.00,
8/13/2020,3161.02,3149043.00,3182.99,3217.52,3155.00,
8/12/2020,3162.24,3527229.00,3108.00,3174.39,3101.42,
8/11/2020,3080.67,3718057.00,3113.20,3159.22,3073.00,
8/10/2020,3148.16,3167274.00,3170.31,3172.51,3101.52,
8/7/2020,3167.46,3936127.00,3224.01,3240.81,3140.67,
8/6/2020,3225.00,3940602.00,3194.36,3247.47,3165.43,
8/5/2020,3205.03,3930025.00,3143.77,3213.59,3127.30,
8/4/2020,3138.83,4694294.00,3101.21,3167.24,3101.21,
8/3/2020,3111.89,5074663.00,3180.51,3184.00,3104.00,
7/31/2020,3164.68,8083369.00,3244.00,3246.82,3151.00,
7/30/2020,3051.88,6128265.00,3014.00,3092.00,3005.00,
7/29/2020,3033.53,2974060.00,3030.99,3039.16,2996.77,
7/28/2020,3000.33,3126651.00,3054.27,3077.09,2995.76,
7/27/2020,3055.21,4170492.00,3062.00,3098.00,3015.77,
7/24/2020,3008.91,5632413.00,2930.00,3031.58,2888.00,
7/23/2020,2986.55,5656906.00,3098.27,3098.27,2970.00,
7/22/2020,3099.91,4104225.00,3125.00,3150.00,3065.26,
7/21/2020,3138.29,6134965.00,3232.49,3240.58,3105.72,
7/20/2020,3196.84,7598176.00,3000.20,3201.36,2994.02,
7/17/2020,2961.97,4761319.00,3009.00,3024.00,2948.45,
7/16/2020,2999.90,6394246.00,2971.06,3032.00,2918.23,
7/15/2020,3008.87,5788874.00,3080.23,3098.35,2973.18,
7/14/2020,3084.00,7231933.00,3089.00,3127.38,2950.00,
7/13/2020,3104.00,7720420.00,3251.06,3344.29,3068.39,
7/10/2020,3200.00,5485982.00,3191.76,3215.00,3135.70,
7/9/2020,3182.63,6388659.00,3115.99,3193.88,3074.00,
7/8/2020,3081.11,5037635.00,3022.61,3083.97,3012.43,
7/7/2020,3000.12,5257514.00,3058.55,3069.55,2990.00,
7/6/2020,3057.04,6880642.00,2934.97,3059.88,2930.00,
7/2/2020,2890.30,6593387.00,2912.01,2955.56,2871.10,
7/1/2020,2878.70,6363439.00,2757.99,2895.00,2754.00,
6/30/2020,2758.82,3769686.00,2685.07,2769.63,2675.03,
6/29/2020,2680.38,4223422.00,2690.01,2696.80,2630.08,
6/26/2020,2692.87,6500784.00,2775.06,2782.57,2688.00,
6/25/2020,2754.58,2968657.00,2739.55,2756.23,2712.14,
6/24/2020,2734.40,4526605.00,2780.00,2796.00,2721.00,
6/23/2020,2764.41,4231707.00,2726.02,2783.11,2718.04,
6/22/2020,2713.82,3208780.00,2684.50,2715.00,2669.00,
6/19/2020,2675.01,5776963.00,2678.08,2697.43,2659.00,
6/18/2020,2653.98,2487774.00,2647.01,2659.64,2636.11,
6/17/2020,2640.98,2959316.00,2647.50,2655.00,2631.82,
6/16/2020,2615.27,3595649.00,2620.00,2620.00,2576.00,
6/15/2020,2572.68,3873335.00,2526.60,2584.00,2508.00,
6/12/2020,2545.02,5436127.00,2601.21,2621.48,2503.35,
6/11/2020,2557.96,5800107.00,2603.50,2671.38,2536.23,
6/10/2020,2647.45,4946031.00,2645.00,2722.35,2626.26,
6/9/2020,2600.86,5175950.00,2529.44,2626.43,2525.00,
6/8/2020,2524.06,3970654.00,2500.20,2530.00,2487.34,
6/5/2020,2483.00,3306445.00,2444.51,2488.65,2437.13,
6/4/2020,2460.60,2948710.00,2477.43,2507.54,2450.01,
6/3/2020,2478.40,2671024.00,2468.01,2488.00,2461.17,
6/2/2020,2472.41,2529903.00,2467.00,2473.53,2445.31,
6/1/2020,2471.04,2938032.00,2448.00,2476.93,2444.17,
5/29/2020,2442.37,3529329.00,2415.94,2442.37,2398.20,
5/28/2020,2401.10,3193136.00,2384.33,2436.97,2378.23,
5/27/2020,2410.39,5056945.00,2404.99,2413.58,2330.00,
5/26/2020,2421.86,3568153.00,2458.00,2462.00,2414.06,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
